title,price_gbp,url,height_cm,width_cm,description,media
Balancing Acts I by Elise Wootten,400.00,https://www.bearspace.co.uk/product-page/balancing-acts-i-by-elise-wootten,40.7,50.8,"Inkjet Print (Hahnemuhle Ultra-Smooth),40.7 x 50.8,2019,Edition of 5,Shown with optional frame available at additional cost",Inkjet Print (Hahnemuhle Ultra-Smooth)
You Took My Breath Away by Dominic Bradnum,640.00,https://www.bearspace.co.uk/product-page/you-took-my-breath-away-by-dominic-bradnum,40,50,"oil on canvas with charcoal, watercolour and pencil,40x50cm, ,£64 a month on the ,Own Art Scheme,Email ,info@bearspace.co.uk, to apply online, available accross our range","oil on canvas with charcoal, watercolour and pencil"
Balancing Acts II by Elise Wootten,400.00,https://www.bearspace.co.uk/product-page/balancing-acts-ii-by-elise-wootten,40.7,50.8,"Inkjet Print (Hahnemuhle Ultra-Smooth),40.7 x 50.8,2019,Edition of 5,Shown with optional frame available at additional cost",Inkjet Print (Hahnemuhle Ultra-Smooth)
Balancing Acts IV by Elise Wootten,400.00,https://www.bearspace.co.uk/product-page/balancing-acts-iv-by-elise-wootten,40.7,50.8,"Inkjet Print (Hahnemuhle Ultra-Smooth),40.7 x 50.8,2019,Edition of 5,Shown with optional frame available at additional cost",Inkjet Print (Hahnemuhle Ultra-Smooth)
Balancing Acts III by Elise Wootten,400.00,https://www.bearspace.co.uk/product-page/balancing-acts-iii-by-elise-wootten,40.7,50.8,"Inkjet Print (Hahnemuhle Ultra-Smooth),40.7 x 50.8,2019,Edition of 5,Shown with optional frame available at additional cost",Inkjet Print (Hahnemuhle Ultra-Smooth)
Somewhat Confusing I by Elise Wootten,640.00,https://www.bearspace.co.uk/product-page/somewhat-confusing-i-by-elise-wootten,74,88,"Aluminium, Inkjet Vinyl Print,74 x 88 cm,2019,Edition of 1 (original artwork)","Aluminium, Inkjet Vinyl Print"
Balancing Acts V by Elise Wootten,340.00,https://www.bearspace.co.uk/product-page/balancing-acts-v-by-elise-wootten,40.7,50.8,"Inkjet Print (Hahnemuhle Ultra-Smooth),40.7 x 50.8,2019,Edition of 5,Shown with optional frame available at additional cost",Inkjet Print (Hahnemuhle Ultra-Smooth)
All Recognisable Entities by Elise Wootten,1200.00,https://www.bearspace.co.uk/product-page/all-recognisable-entities-by-elise-wootten,40.9,50.2,"Set of four,Beech, Mdf, Acrylic paint, Vinyl,40.9 x 50.2,Edition of 1 (original artwork)",Set of four
Somewhat Confusing III by Elise Wootten,640.00,https://www.bearspace.co.uk/product-page/somewhat-confusing-iii-by-elise-wootten,75,88,"Aluminium, Inkjet Vinyl Print,75 x 88,2019,Edition of 1 (original artwork)","Aluminium, Inkjet Vinyl Print"
Somewhat Confusing II by Elise Wootten,640.00,https://www.bearspace.co.uk/product-page/somewhat-confusing-ii-by-elise-wootten,75,89,"Aluminium, Inkjet Vinyl Print,75 x 89 cm,2019,Edition of 1 (original artwork)","Aluminium, Inkjet Vinyl Print"
To The Zenith's Height by Jane Ward,1400.00,https://www.bearspace.co.uk/product-page/to-the-zenith-s-height-by-jane-ward,90,120,"Archival digital print on canvas with dissolved canvas,90x120 cm,2018,Edition of 5, , ",Archival digital print on canvas with dissolved canvas
From Steep to Steep by Jane Ward,640.00,https://www.bearspace.co.uk/product-page/from-steep-to-steep-by-jane-ward,45,60,"Digital print on Aluminium,45x60,Edition of 5 - please note colours are more muted when printed on aluminium, this surface reflects the light and so adds another layer to the way you view the piece, coming 'alive' in certain lightings., ",Digital print on Aluminium
Castle 2 by Jane Ward,640.00,https://www.bearspace.co.uk/product-page/castle-2-by-jane-ward,45,60,"Digital print on Aluminium,45x60,Edition of 5 - please note colours are more muted when printed on aluminium, this surface reflects the light and so adds another layer to the way you view the piece, coming 'alive' in certain lightings., ",Digital print on Aluminium
The Ephemeral Isles 5 by Jane Ward,490.00,https://www.bearspace.co.uk/product-page/the-ephemeral-isles-5a-by-jane-ward,45,60,"Digital print on canvas with dissolved ink,45x60 cm, ,Edition of 5",Digital print on canvas with dissolved ink
Unfathomable Deeps by Jane Ward,340.00,https://www.bearspace.co.uk/product-page/unfathomable-deeps-by-jane-ward-1,24,30,"Digital print on Aluminium,24x30 cm,Edition of 5 - please note colours are more muted when printed on aluminium, this surface reflects the light and so adds another layer to the way you view the piece, coming 'alive' in certain lightings., ",Digital print on Aluminium
From Frozen Floods by Jane Ward,340.00,https://www.bearspace.co.uk/product-page/from-frozen-floods-by-jane-ward-1,24,30,"Digital print on Aluminium,24x30 cm, ,Edition of 5 - please note colours are more muted when printed on aluminium, this surface reflects the light and so adds another layer to the way you view the piece, coming 'alive' in certain lightings., ",Digital print on Aluminium
Meld 5,420.00,https://www.bearspace.co.uk/product-page/copy-of-meld-5,17,15,"13K gold leaf, copper leaf, white casting cement, iron and pigment,17 x 15 cm, ,Cast in a base of fine white casting cement the piece is then ground with faceted sides.This work has ground iron and pigment to give colour to the piece. Once assembled, it's gilded with 13k gold leaf and copper leaf and polished to finish. With the nature of the casting process each piece is different to the next, making each work a one off., ,Photo credit: Laura Hutchinson","13K gold leaf, copper leaf, white casting cement, iron and pigment"
Portal 1 by Jane Ward,320.00,https://www.bearspace.co.uk/product-page/portal-1-by-jane-ward,30,,"Digital print under acrylic with subframe,30cm  diam ,Edition of 10 , ",Digital print under acrylic with subframe
FRAGMENTATION No.46 by Jim Cheatle,1200.00,https://www.bearspace.co.uk/product-page/fragmentation-no-46-by-jim-cheatle,70,54.5,"Resin, pigments, indian ink, watercolour paper, inkjet prints, MDF,70 x 54.5 cm, ","Resin, pigments, indian ink, watercolour paper, inkjet prints, MDF"
FRAGMENTATION No.33 by Jim Cheatle,1200.00,https://www.bearspace.co.uk/product-page/fragmentation-no-33-by-jim-cheatle,70,54.5,"Resin, pigments, canvas, paper, inkjet prints, MDF,70 x 54.5 cm, ","Resin, pigments, canvas, paper, inkjet prints, MDF"
FRAGMENTATION No.45 by Jim Cheatle,1200.00,https://www.bearspace.co.uk/product-page/fragmentation-no-45-by-jim-cheatle,70,54.5,"Resin, pigments, inkjet prints, acrylic, paper, MDF,70 x 54.5 cm, ","Resin, pigments, inkjet prints, acrylic, paper, MDF"
FRAGMENTATION No.44 by Jim Cheatle,1200.00,https://www.bearspace.co.uk/product-page/fragmentation-no-44-by-jim-cheatle,70,54.5,"Resin, pigments, inkjet prints, canvas, MDF,70 x 54.5 cm, ","Resin, pigments, inkjet prints, canvas, MDF"
FRAGMENTATION No.10 by Jim Cheatle,1200.00,https://www.bearspace.co.uk/product-page/fragmentation-no-10-by-jim-cheatle,70,54.5,"Resin, pigments, paper, indian ink, inkjet prints, MDF,70 x 54.5 cm, ","Resin, pigments, paper, indian ink, inkjet prints, MDF"
FRAGMENTATION No.17 by Jim Cheatle,1200.00,https://www.bearspace.co.uk/product-page/fragmentation-no-17-by-jim-cheatle,70,54.5,"Resin, pigments, canvas, paper, inkjet prints, MDF,70 x 54.5 cm, ","Resin, pigments, canvas, paper, inkjet prints, MDF"
Fragstudy 2 by Jim Cheatle,490.00,https://www.bearspace.co.uk/product-page/fragstudy-2-by-jim-cheatle,30.5,23,"Resin, pigments, inkjet prints, MDF,30.5 x 23 cm","Resin, pigments, inkjet prints, MDF"
Fragstudy 1 by Jim Cheatle,490.00,https://www.bearspace.co.uk/product-page/fragstudy-1-by-jim-cheatle,30.5,23,"Resin, pigments, inkjet prints, MDF,30.5 x 23 cm","Resin, pigments, inkjet prints, MDF"
Facet 3 by Vic Wright,140.00,https://www.bearspace.co.uk/product-page/facet-3-by-vic-wright,7,7,"Fine white casting cement, ink and 18k gold,7 x 7 cm, ,Cast in a fine white casting cement. The piece is then ground with facets and gilded with 24k gold leaf. An ink was added to give the surface a texture., ,Photo credit: Laura Hutchinson","Fine white casting cement, ink and 18k gold"
Green Sanctuary by Dionne Cole,1200.00,https://www.bearspace.co.uk/product-page/green-sanctuary-by-dionne-cole,58,85.5,"58W x 85.5Hcm,Sculpted hand and laser cut paper,2018,Edition of 3 (hand finished edition),This piece has a custom frame which is included in the price., ,Green Sanctuary artwork draws inspiration from the vibrant colours of the sea, which makes this piece come to life. It gives a sense of vibrancy ,with hints of bold colours. The bursts of greens transcends into different forms and folds., ,Image credit: All rights reserved to Dionne Cole.",Sculpted hand and laser cut paper
Facet 4 by Vic Wright,140.00,https://www.bearspace.co.uk/product-page/facet-4-by-vic-wright,7.5,6,"Fine white casting cement and 24k gold leaf,7.5 x 6 cm, ,Cast in a fine white casting cement. The piece is then ground with facets and gilded with 24k gold leaf., ,Photo credit: Laura Hutchinson",Fine white casting cement and 24k gold leaf
Conversation 2 by Vic Wright,320.00,https://www.bearspace.co.uk/product-page/conversation-2-by-vic-wright,12,8,"Black and white casting cement with 24k gold leaf,12 x 8 cm, ,Cast in fine black cement this piece has a terrazzo finish within the facets. Finely extruded white cement is adhered to the outside of the piece. The sculpture is finished with 24k goldleaf inlays., ,Photo credit: Laura Hutchinson",Black and white casting cement with 24k gold leaf
Facet by Vic Wright,140.00,https://www.bearspace.co.uk/product-page/facet-by-vic-wright,10,6,"13k gold leaf and grey casting cement.,10 x 6 cm, ,Cast in a fine grey casting cement. The piece was then ground with faceted sides, gilded with13k goldleaf and polished to finish. With the nature of the casting process each piece is different to the next, making each work a one off., ,Photo credit: Laura Hutchinson",13k gold leaf and grey casting cement.
Facet 2 by Vic Wright,140.00,https://www.bearspace.co.uk/product-page/facet-2-by-vic-wright,7,7,"24k gold leaf, white casting cement and ink,7 x 7 cm, ,Cast in a fine white casting cement. The piece is then ground with facets and gilded with 24k gold leaf. An ink was added to give the surface a texture., ,Photo credit: Laura Hutchinson","24k gold leaf, white casting cement and ink"
Conversation 3 by Vic Wright,340.00,https://www.bearspace.co.uk/product-page/conversation-3-by-vic-wright,12,10,"Fine white casting cement, ink, crystals and 24k gold leaf,12 x 10 cm, ,Cast in fine white cement this piece has had an ink applied to create texture to the surface. A piece of crystal enclusted black cement and finely extruded white cement is adhered to the outside of the piece. The piece is finished with 24k goldleaf inlays., ,Photo credit: Laura Hutchinson","Fine white casting cement, ink, crystals and 24k gold leaf"
Shades of Coral II by Dionne Cole,490.00,https://www.bearspace.co.uk/product-page/shades-of-coral-ii-by-dionne-cole,30.5,40.7,"30.5W x 40.7Hcm,Sculpted hand and laser cut paper,2018,Edition of 3 (hand finished edition),This piece has a custom frame which is included in the price., ,Image credit: All rights reserved to Dionne Cole.",Sculpted hand and laser cut paper
Facet 5 by Vic Wright,140.00,https://www.bearspace.co.uk/product-page/facet-5-by-vic-wright,8,6.5,"Fine white casting cement, ink and 24k gold leaf,8 x 6.5 cm, ,Cast in a fine white casting cement. The piece is then ground with facets and gilded with 24k gold leaf. An ink marble affect was then added to create texture to the surface., ,Photo credit: Laura Hutchinson","Fine white casting cement, ink and 24k gold leaf"
I See Beauty In Everything by Dominic Badnum,1600.00,https://www.bearspace.co.uk/product-page/i-see-beauty-in-everything-by-dominic-badnum,80,100,"oil on canvas with charcoal and watercolour,height 80cm x width 100cm,2019,£160 a month on the Own Art Scheme (please select offline payment in checkout)",oil on canvas with charcoal and watercolour
Flight by Dionne Cole,2800.00,https://www.bearspace.co.uk/product-page/flight-by-dionne-cole,92,155,"Sculpted hand and laser cut paper,92w x 155h cm x 11d (framed),This piece comes in a bespoke black deep frame, ,Flight artwork is about a sense of movement, as though the pieces are in motion. A formation of patterns within geometric and organic shapes with a real sense of wonder., ,‘Flight’ is part of a series of 4 (I-IV) Each piece is configured uniquely, based on the same paper elements to represent a different pattern of flight & movement, ",Sculpted hand and laser cut paper
The Tide Seems To Whisper Your Name by Dominic Badnum,1600.00,https://www.bearspace.co.uk/product-page/the-tide-seems-to-whisper-your-name-by-dominic-badnum,80,100,"oil on canvas,height 80cm x width 100cm,2019,£160 a month on the Own Art Scheme (please select offline payment in checkout), ,Photo credit: Steve Speller",oil on canvas
This Day Is Ours by Dominic Bradnum,640.00,https://www.bearspace.co.uk/product-page/you-took-my-breath-away-by-dominic-badnum,40,50,"oil with charcoal, watercolour and pencil on canvas,40 x 50 cm,2019,£64 a month on the Own Art Scheme (please select offline payment in checkout), ,Photo credit: Steve Speller","oil with charcoal, watercolour and pencil on canvas"
Take My Hand by Dominic Badnum,840.00,https://www.bearspace.co.uk/product-page/take-my-hand-by-dominic-badnum,40,50,"oil on canvas with charcoal and watercolour,40cm x 50 cm,2019,£84 a month on the Own Art Scheme (please select offline payment in checkout), ,Photo credit: Steve Speller",oil on canvas with charcoal and watercolour
Disperse by Dionne Cole,1400.00,https://www.bearspace.co.uk/product-page/disperse-by-dionne-cole,76,101.6,"76 x 101.6 cm,Sculpted hand and laser cut paper, pins,2019,Edition of 5 (hand finished edition),This piece has a custom frame which is included in the price., ,Disperse artwork gives the feeling of pieces being spread over different areas, with a continual growth. The overlapping of paper pieces show a real sense of depth., ,Image credit: All rights reserved to Dionne Cole.","Sculpted hand and laser cut paper, pins"
Purple Motion by Dionne Cole,1200.00,https://www.bearspace.co.uk/product-page/purple-motion-by-dionne-cole,59.4,84.1,"59.4 x 84.1cm,Sculpted hand and laser cut paper, pins,2019,Edition of 5 (hand finished edition),This piece has a custom frame which is included in the price., ,Purple motion artwork shows a great combination of monochrome colours, with touches of purple to give more boldness. The dark coloured paper pieces make this piece very powerful and dramatic., , ,Image credit: All rights reserved to Dionne Cole.","Sculpted hand and laser cut paper, pins"
Meld 4 by Vic Wright,440.00,https://www.bearspace.co.uk/product-page/meld-4-by-vic-wright,18,15,"13K gold leaf, copper leaf, white casting cement, iron and pigment,18 x 15 cm, ,Cast in a base of fine white casting cement the piece is then ground with faceted sides.This work has ground iron and pigment to give colour to the piece. Once assembled, it's gilded with 13k gold leaf and copper leaf and polished to finish. With the nature of the casting process each piece is different to the next, making each work a one off., ,Photo credit: Laura Hutchinson","13K gold leaf, copper leaf, white casting cement, iron and pigment"
From the Curved Horizon by Jane Ward,1400.00,https://www.bearspace.co.uk/product-page/from-the-curved-horizon-by-jane-ward,90,120,"90x120 cm,Digital print on canvas with dissolved ink and gold leaf,Edition of 5, ,£1400 a month on the ,Own Art Scheme,Email ,info@bearspace.co.uk, to apply online, available accross our collection",Digital print on canvas with dissolved ink and gold leaf
Meld 6 by Vic Wright,440.00,https://www.bearspace.co.uk/product-page/meld-5-by-vic-wright,17,18,"16K goldleaf, white casting cement, pigment and ink,17 x 18 cm, ,Cast in a base of fine white casting cement the piece is then ground with faceted sides.This work has had ink and pigment added to give colour to the piece. Once assembled, it's gilded with 16k gold leaf and polished to finish. With the nature of the casting process each piece is different to the next, making each work a one off., ,Photo credit: Laura Hutchinson","16K goldleaf, white casting cement, pigment and ink"
To The Zenith'sHeight by Jane Ward,1400.00,https://www.bearspace.co.uk/product-page/to-the-zenith-sheight-by-jane-ward,90,120,"90x120 cm,Digital print on canvas with dissolved ink and pigment,Edition of 5, ,£1400 a month on the ,Own Art Scheme,Email ,info@bearspace.co.uk, to apply online, available accross our collection",Digital print on canvas with dissolved ink and pigment
Spangled by John Greenwood,3000.00,https://www.bearspace.co.uk/product-page/spangled-by-john-greenwood,35,30,"Oil on Canvas,35x30cms,2015, ,£300 a month on the Own Art Scheme, email galleries for details",Oil on Canvas
And The Sunset by Jane Ward,840.00,https://www.bearspace.co.uk/product-page/and-the-sunset-by-jane-ward,70,90,"70x90 cm,Digital print on Canvas with hand dissolved ink,Edition of 5, ,£84 a month on the ,Own Art Scheme,Email ,info@bearspace.co.uk, to apply online, available accross our collection",Digital print on Canvas with hand dissolved ink
Museum of now by John Greenwood,9800.00,https://www.bearspace.co.uk/product-page/museum-of-now-by-john-greenwood,45,38,"Oil on Gessoed canvas on Board,45x38cms,2016, ,Please ,contact the gallery, to purchase, ,£980 a month on the Own Art Scheme, ,email gallery, for details",Oil on Gessoed canvas on Board
El Dorado by John Greenwood,3800.00,https://www.bearspace.co.uk/product-page/el-dorado-by-john-greenwood,45,38,"Oil on Gessoed canvas on Board,45x38cms,2016, ,£380 a month on the Own Art Scheme, ,email gallery, for details",Oil on Gessoed canvas on Board
Where Stars Dissolve by Bella Easton,3200.00,https://www.bearspace.co.uk/product-page/where-stars-dissolve-by-bella-easton,56,41,"Pencil on Arches paper,56 x 41 cm,Framed, ,Illusion of space through geometry, light and surface is an aesthetic constant within my work. Here I have used fragments from antique wallpaper designs from my home and manipulated the flat organic images and turned them into immersive theatrically lit spaces. Formed around a geometric framework the Rorschach like result is a coming together that may look like one complete object or view, but is actually a symmetrical dissection mirrored to form two halves. The light source in each half are from opposite directions.",Pencil on Arches paper
Entry Point by Joseph Stokes,720.00,https://www.bearspace.co.uk/product-page/entry-point-by-joseph-stokes,50,40,"Graphite on paper,50x40 cm,2017, ,£320 a month on the Own Art Scheme ,email gallery, for details",Graphite on paper
ANGEL HEART by Bella Easton,3200.00,https://www.bearspace.co.uk/product-page/angel-heart-by-bella-easton,56,41,"Pencil on Arches paper,56 x 41 cm,Framed, ,Illusion of space through geometry, light and surface is an aesthetic constant within my work. Here I have used fragments from antique wallpaper designs from my home and manipulated the flat organic images and turned them into immersive theatrically lit spaces. Formed around a geometric framework the Rorschach like result is a coming together that may look like one complete object or view, but is actually a symmetrical dissection mirrored to form two halves. The light source in each half are from opposite directions.",Pencil on Arches paper
White Sitting Double by Vic Wright,290.00,https://www.bearspace.co.uk/product-page/white-sitting-double-by-vic-wright,13.5,10,"24K gold leaf & white casting cement,13.5 x 10 cm, ,Cast in fine white casting cement. The piece is then ground with faceted sides, gilded with 24k gold leaf, and polished to finish. With the nature of the casting process each piece is different to the next, making each piece a one off., ,Photo credit: Laura Hutchinson",24K gold leaf & white casting cement
Standing Triple Black Grey and White by Vic Wright,340.00,https://www.bearspace.co.uk/product-page/standing-triple-black-grey-and-white-by-vic-wright,14,11,"White and grey casting cement with ink,14 x 11 cm, ,Cast with fine white casting cement. The piece is then ground with faceted sides, assembled and polished to finish. With the nature of the casting process each piece is different to the next, make each work a one off., ,Photo credit: Laura Hutchinson",White and grey casting cement with ink
Standing White and Grey speckle by Vic Wright,325.00,https://www.bearspace.co.uk/product-page/standing-white-and-grey-speckle-by-vic-wright,14,13,"White and Grey fine casting cement with white wax,14 x 13 cm, ,Cast in fine white casting cement. The piece was then ground with faceted sides, assembled and polished with a white wax to finish. With the nature of the casting process each piece is different to the next, making each work a one off., ,Photo credit: Laura Hutchinson",White and Grey fine casting cement with white wax
Meld 3 by Vic Wright,440.00,https://www.bearspace.co.uk/product-page/meld-3-by-vic-wright,18,12,"13k gold leaf, white casting cement and ink,18 x 12 cm, ,Cast in fine white casting cement. The piece is then ground with faceted sides, assembled, gilded with 13k gold leaf and polished to finish. With the nature of the casting process each piece is different to the next, making each work a one off.","13k gold leaf, white casting cement and ink"
Standing Triple Grey and Black by Vic Wright,380.00,https://www.bearspace.co.uk/product-page/standing-triple-grey-and-black-by-vic-wright,15,14,"24k gold leaf with casting cement,15 x 14 cm, ,Cast in fine grey casting cement. The piece was then ground with faceted sides, gilded with 24k gold leaf and polished to finish. With the nature of the casting process each piece is different to the next, making each work a one off., ,Photo credit: Laura Hutchinson",24k gold leaf with casting cement
Standing Grey double by Vic Wright,180.00,https://www.bearspace.co.uk/product-page/standing-grey-double-by-vic-wright,12,6.5,"Grey casting cement,12 x 6.5 cm, ,Cast in fine grey casting cement. The piece is then ground with faceted sides and polished to finish. With the nature of the casting process each piece is different to the next, making each work a one off., ,Photo credit: Laura Hutchinson",Grey casting cement
Emplacement 6 by Victoria Ashdown,240.00,https://www.bearspace.co.uk/product-page/emplacement-6-by-victoria-ashdown,20,21,"20x21x12 cm,porcelain, green acrylic, concrete, wire,Original Artwork, ,Using the ceramic process of extruding Ashdown lets gravity determine the shape of the porcelain. Then uses laser cut plastic and wood to fit into the negative spaces created by the porcelain. These processes combine analogy and digital technology., ,Read more about the artist here, ","porcelain, green acrylic, concrete, wire"
"""Point"" by Deanna Lewis",340.00,https://www.bearspace.co.uk/product-page/point-by-deanna-lewis,35,50,"Acrylic and oil paint on canvas,35 x 50cm,Original artwork, ,For this particular collection of work Deanna studied finger prints left on computer screens, adding and removing oil paint to embody them.The white areas of her paintings represent the idea of an ‘edge’, a conceptual and formal device used to emphasise the concentrated detail along the line she creates.,Read more about the artist",Acrylic and oil paint on canvas
"""Shift"" by Deanna Lewis",440.00,https://www.bearspace.co.uk/product-page/shift-by-deanna-lewis,40,60,"Acrylic and oil paint on canvas,40 x 60 cm,Original artwork, ,For this particular collection of work Deanna studied finger prints left on computer screens, adding and removing oil paint to embody them.The white areas of her paintings represent the idea of an ‘edge’, a conceptual and formal device used to emphasise the concentrated detail along the line she creates.,Read more about the artist",Acrylic and oil paint on canvas
Emplacement 7 by Victoria Ashdown,240.00,https://www.bearspace.co.uk/product-page/emplacement-7-by-victoria-ashdown,13,23,"13x23x13 cm,Porcelain, orange acrylic, concrete, wire,Original Artwork, ,Using the ceramic process of extruding Ashdown lets gravity determine the shape of the porcelain. Then uses laser cut plastic and wood to fit into the negative spaces created by the porcelain. These processes combine analogy and digital technology., ,Read more about the artist here, ","Porcelain, orange acrylic, concrete, wire"
"""Follow"" by Deanna Lewis",340.00,https://www.bearspace.co.uk/product-page/follow-by-deanna-lewis,35,50,"Acrylic and oil paint on canvas,35 x 50cm,Original artwork, ,For this particular collection of work Deanna studied finger prints left on computer screens, adding and removing oil paint to embody them.The white areas of her paintings represent the idea of an ‘edge’, a conceptual and formal device used to emphasise the concentrated detail along the line she creates.,Read more about the artist",Acrylic and oil paint on canvas
"""Exchange"" by Deanna Lewis",340.00,https://www.bearspace.co.uk/product-page/exchange-by-deanna-lewis,35,50,"Acrylic and oil paint on canvas,35 x 50cm,Original artwork, ,For this particular collection of work Deanna studied finger prints left on computer screens, adding and removing oil paint to embody them.The white areas of her paintings represent the idea of an ‘edge’, a conceptual and formal device used to emphasise the concentrated detail along the line she creates.,Read more about the artist",Acrylic and oil paint on canvas
"""Push"" by Deanna Lewis",440.00,https://www.bearspace.co.uk/product-page/push-by-deanna-lewis,40,60,"Acrylic and oil paint on canvas,40 x 60 cm,Original artwork, ,For this particular collection of work Deanna studied finger prints left on computer screens, adding and removing oil paint to embody them.The white areas of her paintings represent the idea of an ‘edge’, a conceptual and formal device used to emphasise the concentrated detail along the line she creates.,Read more about the artist",Acrylic and oil paint on canvas
